test_name,flakyStatus,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
org.apache.hadoop.hbase.stargate.util.testhtabletokenbucket.testtokenbucket,1,1,0,0,0,0,0,0,0,4,1,33.192,14,4,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.stargate.client.testremotetable.testscanner,1,1,0,0,0,1,0,0,0,9,29,0.193,123,34,0,0,0,0,0,2,2,2,0
org.apache.hadoop.hbase.stargate.testversionresource.testgetstargateversiontext,1,1,0,0,0,1,0,0,0,10,22,0.021,51,11,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.testscanner.testscanner,1,0,0,0,1,1,0,0,0,0,17,5.043,210,69,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.regionserver.testcompaction.testcompaction,1,1,1,0,0,1,0,0,0,13,11,23.427,193,63,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testlisttables,1,1,1,0,1,1,0,0,1,2,49,15.87,555,144,0,1,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.test00minicluster.testzookeeperminicluster,1,0,0,0,0,0,0,0,0,1,1,0.001,5,2,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testqualifierfilter,1,0,0,0,0,1,0,0,0,0,49,6.367,109,24,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.auth.testhtableauthenticator.testgetuserunknown,1,0,0,0,0,0,0,0,0,1,1,0.024,13,5,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.stargate.testscannerresource.testsimplescannerbinary,1,1,1,0,0,1,0,0,0,8,21,42.938,91,28,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.client.testtimestamp.testtimestamps,1,0,0,0,0,1,0,0,0,0,12,25.98,775,202,1,1,1,2,2,2,2,2,0
